#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.274200E+00   0.695735E+06   0.692449E+06  -0.221108E+00  -0.225476E+00   0.129557E+05   0.692144E+06   0.695219E+06   0.692144E+06  -0.165346E-01   0.365983E+06   0.365946E+06   0.451935E-01
   0.279589E+00   0.674218E+06   0.670913E+06  -0.206087E+00  -0.210159E+00   0.121532E+05   0.670717E+06   0.673698E+06   0.670717E+06  -0.160227E-01   0.354654E+06   0.354617E+06   0.443070E-01
   0.284978E+00   0.653532E+06   0.650215E+06  -0.192279E+00  -0.196078E+00   0.114093E+05   0.650119E+06   0.653011E+06   0.650119E+06  -0.155307E-01   0.343763E+06   0.343726E+06   0.433176E-01
   0.290366E+00   0.634211E+06   0.630913E+06  -0.179732E+00  -0.183282E+00   0.107289E+05   0.630885E+06   0.633692E+06   0.630885E+06  -0.150712E-01   0.333593E+06   0.333557E+06   0.420090E-01
   0.295755E+00   0.616605E+06   0.613369E+06  -0.168433E+00  -0.171761E+00   0.101128E+05   0.613366E+06   0.616097E+06   0.613366E+06  -0.146527E-01   0.324330E+06   0.324294E+06   0.403146E-01
   0.301144E+00   0.600744E+06   0.597609E+06  -0.158282E+00  -0.161409E+00   0.955681E+04   0.597589E+06   0.600252E+06   0.597589E+06  -0.142758E-01   0.315988E+06   0.315954E+06   0.383002E-01
   0.306533E+00   0.586343E+06   0.583338E+06  -0.149107E+00  -0.152053E+00   0.905183E+04   0.583271E+06   0.585871E+06   0.583271E+06  -0.139337E-01   0.308418E+06   0.308384E+06   0.361201E-01
   0.311921E+00   0.572966E+06   0.570101E+06  -0.140718E+00  -0.143498E+00   0.858761E+04   0.569974E+06   0.572516E+06   0.569974E+06  -0.136161E-01   0.301387E+06   0.301355E+06   0.339619E-01
   0.317310E+00   0.560181E+06   0.557449E+06  -0.132948E+00  -0.135575E+00   0.815490E+04   0.557266E+06   0.559752E+06   0.557266E+06  -0.133125E-01   0.294667E+06   0.294637E+06   0.319936E-01
   0.322699E+00   0.547633E+06   0.545011E+06  -0.125668E+00  -0.128151E+00   0.774650E+04   0.544790E+06   0.547221E+06   0.544790E+06  -0.130144E-01   0.288070E+06   0.288041E+06   0.303257E-01
   0.328087E+00   0.535072E+06   0.532531E+06  -0.118787E+00  -0.121134E+00   0.735749E+04   0.532296E+06   0.534673E+06   0.532296E+06  -0.127160E-01   0.281464E+06   0.281436E+06   0.289928E-01
   0.333476E+00   0.522398E+06   0.519910E+06  -0.112256E+00  -0.114474E+00   0.698533E+04   0.519686E+06   0.522007E+06   0.519686E+06  -0.124147E-01   0.274796E+06   0.274768E+06   0.279591E-01
   0.338865E+00   0.509682E+06   0.507225E+06  -0.106068E+00  -0.108163E+00   0.663007E+04   0.507030E+06   0.509296E+06   0.507030E+06  -0.121124E-01   0.268105E+06   0.268077E+06   0.271399E-01
   0.344254E+00   0.497129E+06   0.494693E+06  -0.100242E+00  -0.102222E+00   0.629336E+04   0.494536E+06   0.496746E+06   0.494536E+06  -0.118139E-01   0.261498E+06   0.261471E+06   0.264303E-01
   0.349642E+00   0.484980E+06   0.482563E+06  -0.948007E-01  -0.966734E-01   0.597709E+04   0.482443E+06   0.484600E+06   0.482443E+06  -0.115251E-01   0.255104E+06   0.255077E+06   0.257332E-01
   0.355031E+00   0.473419E+06   0.471029E+06  -0.897527E-01  -0.915257E-01   0.568224E+04   0.470937E+06   0.473043E+06   0.470937E+06  -0.112502E-01   0.249020E+06   0.248994E+06   0.249791E-01
   0.360420E+00   0.462539E+06   0.460189E+06  -0.850877E-01  -0.867685E-01   0.540856E+04   0.460111E+06   0.462170E+06   0.460111E+06  -0.109916E-01   0.243296E+06   0.243270E+06   0.241372E-01
   0.365809E+00   0.452355E+06   0.450059E+06  -0.807811E-01  -0.823769E-01   0.515490E+04   0.449980E+06   0.451994E+06   0.449980E+06  -0.107495E-01   0.237939E+06   0.237914E+06   0.232146E-01
   0.371197E+00   0.442814E+06   0.440583E+06  -0.767989E-01  -0.783160E-01   0.491943E+04   0.440492E+06   0.442464E+06   0.440492E+06  -0.105229E-01   0.232922E+06   0.232897E+06   0.222472E-01
   0.376586E+00   0.433805E+06   0.431642E+06  -0.730995E-01  -0.745435E-01   0.469979E+04   0.431532E+06   0.433465E+06   0.431532E+06  -0.103089E-01   0.228185E+06   0.228161E+06   0.212844E-01
   0.381975E+00   0.425169E+06   0.423073E+06  -0.696380E-01  -0.710136E-01   0.449338E+04   0.422945E+06   0.424840E+06   0.422945E+06  -0.101037E-01   0.223644E+06   0.223621E+06   0.203743E-01
   0.387363E+00   0.416753E+06   0.414718E+06  -0.663743E-01  -0.676855E-01   0.429781E+04   0.414576E+06   0.416433E+06   0.414576E+06  -0.990377E-02   0.219219E+06   0.219196E+06   0.195517E-01
   0.392752E+00   0.408449E+06   0.406464E+06  -0.632795E-01  -0.645295E-01   0.411141E+04   0.406316E+06   0.408137E+06   0.406316E+06  -0.970646E-02   0.214851E+06   0.214829E+06   0.188322E-01
   0.398141E+00   0.400217E+06   0.398273E+06  -0.603375E-01  -0.615293E-01   0.393330E+04   0.398127E+06   0.399912E+06   0.398127E+06  -0.951084E-02   0.210521E+06   0.210500E+06   0.182119E-01
   0.403530E+00   0.392076E+06   0.390164E+06  -0.575420E-01  -0.586786E-01   0.376322E+04   0.390026E+06   0.391775E+06   0.390026E+06  -0.931732E-02   0.206238E+06   0.206217E+06   0.176712E-01
   0.408918E+00   0.384073E+06   0.382187E+06  -0.548916E-01  -0.559759E-01   0.360122E+04   0.382063E+06   0.383777E+06   0.382063E+06  -0.912708E-02   0.202027E+06   0.202006E+06   0.171820E-01
   0.414307E+00   0.376268E+06   0.374407E+06  -0.523864E-01  -0.534212E-01   0.344744E+04   0.374297E+06   0.375976E+06   0.374297E+06  -0.894156E-02   0.197921E+06   0.197900E+06   0.167156E-01
   0.419696E+00   0.368722E+06   0.366886E+06  -0.500259E-01  -0.510141E-01   0.330199E+04   0.366788E+06   0.368433E+06   0.366788E+06  -0.876217E-02   0.193950E+06   0.193930E+06   0.162491E-01
   0.425085E+00   0.361481E+06   0.359675E+06  -0.478081E-01  -0.487524E-01   0.316484E+04   0.359584E+06   0.361197E+06   0.359584E+06  -0.859007E-02   0.190141E+06   0.190121E+06   0.157699E-01
   0.430473E+00   0.354571E+06   0.352798E+06  -0.457276E-01  -0.466309E-01   0.303577E+04   0.352709E+06   0.354292E+06   0.352709E+06  -0.842585E-02   0.186506E+06   0.186486E+06   0.152760E-01
   0.435862E+00   0.347977E+06   0.346240E+06  -0.437746E-01  -0.446393E-01   0.291422E+04   0.346150E+06   0.347704E+06   0.346150E+06  -0.826916E-02   0.183038E+06   0.183018E+06   0.147741E-01
   0.441251E+00   0.341651E+06   0.339954E+06  -0.419358E-01  -0.427642E-01   0.279940E+04   0.339859E+06   0.341385E+06   0.339859E+06  -0.811887E-02   0.179711E+06   0.179692E+06   0.142762E-01
   0.446640E+00   0.335541E+06   0.333882E+06  -0.401983E-01  -0.409923E-01   0.269055E+04   0.333782E+06   0.335281E+06   0.333782E+06  -0.797369E-02   0.176498E+06   0.176479E+06   0.137956E-01
   0.452028E+00   0.329603E+06   0.327980E+06  -0.385513E-01  -0.393128E-01   0.258701E+04   0.327876E+06   0.329348E+06   0.327876E+06  -0.783260E-02   0.173375E+06   0.173357E+06   0.133435E-01
   0.457417E+00   0.323803E+06   0.322213E+06  -0.369859E-01  -0.377165E-01   0.248827E+04   0.322106E+06   0.323553E+06   0.322106E+06  -0.769477E-02   0.170324E+06   0.170306E+06   0.129262E-01
   0.462806E+00   0.318109E+06   0.316549E+06  -0.354945E-01  -0.361956E-01   0.239384E+04   0.316442E+06   0.317864E+06   0.316442E+06  -0.755946E-02   0.167329E+06   0.167312E+06   0.125445E-01
   0.468195E+00   0.312506E+06   0.310972E+06  -0.340714E-01  -0.347444E-01   0.230343E+04   0.310868E+06   0.312265E+06   0.310868E+06  -0.742631E-02   0.164382E+06   0.164365E+06   0.121942E-01
   0.473583E+00   0.307004E+06   0.305493E+06  -0.327142E-01  -0.333604E-01   0.221691E+04   0.305394E+06   0.306767E+06   0.305394E+06  -0.729554E-02   0.161487E+06   0.161470E+06   0.118679E-01
   0.478972E+00   0.301628E+06   0.300139E+06  -0.314222E-01  -0.320428E-01   0.213428E+04   0.300045E+06   0.301394E+06   0.300045E+06  -0.716777E-02   0.158659E+06   0.158642E+06   0.115577E-01
   0.484361E+00   0.296401E+06   0.294934E+06  -0.301944E-01  -0.307908E-01   0.205553E+04   0.294844E+06   0.296170E+06   0.294844E+06  -0.704353E-02   0.155909E+06   0.155893E+06   0.112562E-01
   0.489749E+00   0.291332E+06   0.289888E+06  -0.290287E-01  -0.296020E-01   0.198054E+04   0.289802E+06   0.291105E+06   0.289802E+06  -0.692307E-02   0.153243E+06   0.153227E+06   0.109582E-01
   0.495138E+00   0.286425E+06   0.285004E+06  -0.279220E-01  -0.284735E-01   0.190916E+04   0.284921E+06   0.286202E+06   0.284921E+06  -0.680646E-02   0.150661E+06   0.150646E+06   0.106616E-01
   0.500527E+00   0.281679E+06   0.280282E+06  -0.268713E-01  -0.274020E-01   0.184121E+04   0.280199E+06   0.281460E+06   0.280199E+06  -0.669367E-02   0.148165E+06   0.148149E+06   0.103669E-01
   0.505916E+00   0.277088E+06   0.275715E+06  -0.258733E-01  -0.263843E-01   0.177650E+04   0.275632E+06   0.276872E+06   0.275632E+06  -0.658457E-02   0.145750E+06   0.145735E+06   0.100768E-01
   0.511304E+00   0.272637E+06   0.271289E+06  -0.249240E-01  -0.254163E-01   0.171480E+04   0.271205E+06   0.272425E+06   0.271205E+06  -0.647881E-02   0.143409E+06   0.143394E+06   0.979467E-02
   0.516693E+00   0.268305E+06   0.266980E+06  -0.240191E-01  -0.244935E-01   0.165582E+04   0.266896E+06   0.268097E+06   0.266896E+06  -0.637586E-02   0.141130E+06   0.141116E+06   0.952369E-02
   0.522082E+00   0.264071E+06   0.262770E+06  -0.231547E-01  -0.236120E-01   0.159934E+04   0.262685E+06   0.263867E+06   0.262685E+06  -0.627526E-02   0.138904E+06   0.138889E+06   0.926601E-02
   0.527471E+00   0.259925E+06   0.258645E+06  -0.223279E-01  -0.227689E-01   0.154517E+04   0.258561E+06   0.259724E+06   0.258561E+06  -0.617674E-02   0.136723E+06   0.136709E+06   0.902244E-02
   0.532859E+00   0.255864E+06   0.254604E+06  -0.215368E-01  -0.219622E-01   0.149321E+04   0.254521E+06   0.255666E+06   0.254521E+06  -0.608023E-02   0.134587E+06   0.134573E+06   0.879241E-02
   0.538248E+00   0.251888E+06   0.250646E+06  -0.207797E-01  -0.211901E-01   0.144335E+04   0.250565E+06   0.251693E+06   0.250565E+06  -0.598573E-02   0.132495E+06   0.132481E+06   0.857418E-02
   0.543637E+00   0.247995E+06   0.246772E+06  -0.200551E-01  -0.204512E-01   0.139551E+04   0.246693E+06   0.247803E+06   0.246693E+06  -0.589323E-02   0.130447E+06   0.130434E+06   0.836539E-02
   0.549025E+00   0.244190E+06   0.242984E+06  -0.193616E-01  -0.197440E-01   0.134962E+04   0.242907E+06   0.244000E+06   0.242907E+06  -0.580278E-02   0.128445E+06   0.128432E+06   0.816366E-02
   0.554414E+00   0.240476E+06   0.239287E+06  -0.186983E-01  -0.190677E-01   0.130563E+04   0.239212E+06   0.240290E+06   0.239212E+06  -0.571453E-02   0.126492E+06   0.126479E+06   0.796714E-02
   0.559803E+00   0.236861E+06   0.235689E+06  -0.180644E-01  -0.184212E-01   0.126349E+04   0.235616E+06   0.236677E+06   0.235616E+06  -0.562861E-02   0.124590E+06   0.124577E+06   0.777476E-02
   0.565192E+00   0.233343E+06   0.232189E+06  -0.174584E-01  -0.178032E-01   0.122313E+04   0.232116E+06   0.233162E+06   0.232116E+06  -0.554502E-02   0.122740E+06   0.122727E+06   0.758614E-02
   0.570580E+00   0.229917E+06   0.228780E+06  -0.168787E-01  -0.172121E-01   0.118443E+04   0.228708E+06   0.229738E+06   0.228708E+06  -0.546359E-02   0.120938E+06   0.120925E+06   0.740155E-02
   0.575969E+00   0.226574E+06   0.225455E+06  -0.163236E-01  -0.166460E-01   0.114730E+04   0.225383E+06   0.226399E+06   0.225383E+06  -0.538417E-02   0.119180E+06   0.119167E+06   0.722165E-02
   0.581358E+00   0.223312E+06   0.222209E+06  -0.157917E-01  -0.161036E-01   0.111165E+04   0.222138E+06   0.223138E+06   0.222138E+06  -0.530664E-02   0.117463E+06   0.117451E+06   0.704728E-02
   0.586747E+00   0.220124E+06   0.219038E+06  -0.152817E-01  -0.155835E-01   0.107740E+04   0.218967E+06   0.219954E+06   0.218967E+06  -0.523090E-02   0.115787E+06   0.115775E+06   0.687915E-02
   0.592135E+00   0.217007E+06   0.215937E+06  -0.147924E-01  -0.150845E-01   0.104447E+04   0.215866E+06   0.216839E+06   0.215866E+06  -0.515682E-02   0.114147E+06   0.114135E+06   0.671758E-02
   0.597524E+00   0.213953E+06   0.212898E+06  -0.143223E-01  -0.146052E-01   0.101277E+04   0.212828E+06   0.213787E+06   0.212828E+06  -0.508424E-02   0.112541E+06   0.112529E+06   0.656248E-02
   0.602913E+00   0.210958E+06   0.209918E+06  -0.138706E-01  -0.141445E-01   0.982244E+03   0.209849E+06   0.210795E+06   0.209849E+06  -0.501307E-02   0.110965E+06   0.110954E+06   0.641341E-02
   0.608302E+00   0.208024E+06   0.206997E+06  -0.134364E-01  -0.137018E-01   0.952849E+03   0.206930E+06   0.207862E+06   0.206930E+06  -0.494334E-02   0.109422E+06   0.109410E+06   0.626978E-02
   0.613690E+00   0.205152E+06   0.204140E+06  -0.130193E-01  -0.132764E-01   0.924554E+03   0.204074E+06   0.204993E+06   0.204074E+06  -0.487510E-02   0.107911E+06   0.107900E+06   0.613089E-02
   0.619079E+00   0.202344E+06   0.201345E+06  -0.126185E-01  -0.128677E-01   0.897321E+03   0.201280E+06   0.202187E+06   0.201280E+06  -0.480836E-02   0.106434E+06   0.106423E+06   0.599606E-02
   0.624468E+00   0.199596E+06   0.198610E+06  -0.122332E-01  -0.124748E-01   0.871093E+03   0.198546E+06   0.199441E+06   0.198546E+06  -0.474306E-02   0.104989E+06   0.104978E+06   0.586474E-02
   0.629856E+00   0.196907E+06   0.195935E+06  -0.118628E-01  -0.120971E-01   0.845836E+03   0.195872E+06   0.196755E+06   0.195872E+06  -0.467916E-02   0.103574E+06   0.103563E+06   0.573662E-02
   0.681274E+00   0.173944E+06   0.173086E+06  -0.895741E-02  -0.913433E-02   0.646057E+03   0.173029E+06   0.173810E+06   0.173029E+06  -0.413348E-02   0.914957E+05   0.914861E+05   0.468098E-02
   0.736889E+00   0.153525E+06   0.152767E+06  -0.675764E-02  -0.689110E-02   0.492552E+03   0.152716E+06   0.153406E+06   0.152716E+06  -0.364824E-02   0.807547E+05   0.807463E+05   0.381840E-02
   0.797043E+00   0.135398E+06   0.134730E+06  -0.509415E-02  -0.519476E-02   0.374888E+03   0.134685E+06   0.135293E+06   0.134685E+06  -0.321748E-02   0.712198E+05   0.712124E+05   0.311271E-02
   0.862109E+00   0.119323E+06   0.118734E+06  -0.383731E-02  -0.391309E-02   0.284876E+03   0.118694E+06   0.119230E+06   0.118694E+06  -0.283547E-02   0.627641E+05   0.627576E+05   0.253543E-02
   0.932485E+00   0.105080E+06   0.104561E+06  -0.288846E-02  -0.294550E-02   0.216147E+03   0.104526E+06   0.104998E+06   0.104526E+06  -0.249702E-02   0.552723E+05   0.552666E+05   0.206367E-02
   0.100861E+01   0.924743E+05   0.920182E+05  -0.217275E-02  -0.221566E-02   0.163765E+03   0.919869E+05   0.924026E+05   0.919869E+05  -0.219747E-02   0.486418E+05   0.486367E+05   0.167852E-02
   0.109094E+01   0.813263E+05   0.809252E+05  -0.163329E-02  -0.166554E-02   0.123907E+03   0.808976E+05   0.812633E+05   0.808976E+05  -0.193256E-02   0.427779E+05   0.427734E+05   0.136432E-02
   0.118000E+01   0.714757E+05   0.711232E+05  -0.122696E-02  -0.125120E-02   0.936293E+02   0.710989E+05   0.714203E+05   0.710989E+05  -0.169848E-02   0.375964E+05   0.375925E+05   0.110818E-02
   0.127633E+01   0.627805E+05   0.624709E+05  -0.921170E-03  -0.939362E-03   0.706656E+02   0.624495E+05   0.627319E+05   0.624495E+05  -0.149185E-02   0.330227E+05   0.330193E+05   0.899567E-03
   0.138052E+01   0.551095E+05   0.548378E+05  -0.691166E-03  -0.704816E-03   0.532721E+02   0.548188E+05   0.550668E+05   0.548188E+05  -0.130956E-02   0.289877E+05   0.289847E+05   0.729751E-03
   0.149322E+01   0.483480E+05   0.481097E+05  -0.518294E-03  -0.528530E-03   0.401165E+02   0.480930E+05   0.483106E+05   0.480930E+05  -0.114889E-02   0.254312E+05   0.254286E+05   0.591629E-03
   0.161511E+01   0.423925E+05   0.421836E+05  -0.388443E-03  -0.396115E-03   0.301791E+02   0.421689E+05   0.423597E+05   0.421689E+05  -0.100737E-02   0.222986E+05   0.222963E+05   0.479356E-03
   0.174696E+01   0.371509E+05   0.369678E+05  -0.290970E-03  -0.296717E-03   0.226818E+02   0.369549E+05   0.371222E+05   0.369549E+05  -0.882815E-03   0.195415E+05   0.195394E+05   0.388158E-03
   0.188957E+01   0.325402E+05   0.323799E+05  -0.217841E-03  -0.222143E-03   0.170315E+02   0.323686E+05   0.325150E+05   0.323686E+05  -0.773251E-03   0.171162E+05   0.171145E+05   0.314121E-03
   0.201662E+01   0.291431E+05   0.289994E+05  -0.171290E-03  -0.174673E-03   0.134213E+02   0.289893E+05   0.291205E+05   0.289893E+05  -0.692524E-03   0.153293E+05   0.153277E+05   0.263440E-03
   0.252652E+01   0.198408E+05   0.197430E+05  -0.742955E-04  -0.757628E-04   0.585653E+01   0.197361E+05   0.198254E+05   0.197361E+05  -0.471475E-03   0.104363E+05   0.104352E+05   0.142765E-03
   0.316533E+01   0.134587E+05   0.133924E+05  -0.321080E-04  -0.327421E-04   0.254143E+01   0.133877E+05   0.134483E+05   0.133877E+05  -0.319818E-03   0.707931E+04   0.707858E+04   0.769775E-04
   0.396567E+01   0.909931E+04   0.905449E+04  -0.138301E-04  -0.141032E-04   0.109772E+01   0.905129E+04   0.909227E+04   0.905129E+04  -0.216226E-03   0.478626E+04   0.478577E+04   0.412744E-04
   0.496836E+01   0.613339E+04   0.610320E+04  -0.593912E-05  -0.605641E-05   0.472265E+00   0.610103E+04   0.612865E+04   0.610103E+04  -0.145747E-03   0.322618E+04   0.322585E+04   0.219840E-04
   0.622459E+01   0.412282E+04   0.410254E+04  -0.254344E-05  -0.259367E-05   0.202491E+00   0.410107E+04   0.411964E+04   0.410107E+04  -0.979703E-04   0.216862E+04   0.216840E+04   0.116091E-04
   0.779844E+01   0.276432E+04   0.275073E+04  -0.108647E-05  -0.110793E-05   0.865650E-01   0.274973E+04   0.276218E+04   0.274973E+04  -0.656882E-04   0.145404E+04   0.145390E+04   0.605719E-05
